run_id,timestamp,total_items,bugs,features,praise,complaints,spam,tickets_created,qc_pass_rate,avg_latency_ms
ed3652fe-6555-49c0-a5b6-469125fe852b,2026-03-23T18:40:22.319497+00:00,0,0,0,0,0,0,0,100.0,
217b3d8b-4341-4ce8-b89a-d3a6f12361fd,2026-03-23T19:53:37.191148+00:00,0,0,0,0,0,0,0,100.0,
9adc9467-8cb0-433e-90ce-488ba3e19e13,2026-03-23T19:56:52.804364+00:00,0,0,0,0,0,0,0,100.0,
5efb1a3b-f8a8-45a4-8c08-d47478155776,2026-03-23T20:05:09.710504+00:00,0,0,0,0,0,0,0,100.0,
d2412805-6b22-4a09-a8af-9805cf0fe3c7,2026-03-23T20:19:20.264370+00:00,80,24,19,16,14,7,57,100.0,
7fca7786-8f7a-42da-93ae-c7a848563401,2026-03-23T20:45:08.752819+00:00,80,24,19,16,14,7,57,100.0,
53550a5b-d621-47e8-8bed-6adf6c6f8eaf,2026-03-23T20:46:41.995971+00:00,80,24,20,16,13,7,57,100.0,
a4910ff4-4a6d-41d7-9463-dca0e22e75a6,2026-03-23T21:04:44.720906+00:00,0,0,0,0,0,0,0,100.0,
